Region Name,Region Type,Type,zillow_Current,zillow_Month Over Month,zillow_Quarter Over Quarter,zillow_Year Over Year,5 Year Annualized,10 Year Annualized,Current,Month Over Month,Quarter Over Quarter,Year Over Year
Haller Lake,neighborhood,All Homes,"$639,300",1.0%,3.4%,4.7%,9.4%,6.3%,$447,1.1%,3.5%,4.7%
Hawthorne Hills,neighborhood,All Homes,"$1,168,800",0.9%,2.5%,4.6%,9.1%,6.8%,$518,1.0%,2.6%,4.6%
Heather Downs,neighborhood,All Homes,"$503,900",1.4%,5.3%,12.9%,9.1%,5.5%,$328,1.5%,5.5%,13.1%
Heritage Garden Estates,neighborhood,All Homes,"$758,600",0.8%,2.0%,1.3%,---,---,$218,0.9%,1.9%,1.4%
Hidden Valley,neighborhood,All Homes,"$1,663,900",1.1%,3.2%,6.9%,11.7%,9.1%,$853,1.1%,3.1%,6.9%
High Point,neighborhood,All Homes,"$563,600",0.4%,1.7%,2.1%,9.5%,6.0%,$392,0.3%,1.6%,2.1%
Highbury Park,neighborhood,All Homes,"$530,300",1.2%,3.6%,8.2%,9.3%,6.0%,$297,1.0%,3.5%,8.0%
Highland Estates,neighborhood,All Homes,"$677,100",0.3%,0.8%,1.3%,7.0%,5.5%,$284,0.4%,0.7%,1.4%
Highland Park,neighborhood,All Homes,"$550,000",0.8%,2.5%,3.5%,11.7%,6.5%,$398,0.8%,2.6%,3.6%
Highland Terrace,neighborhood,All Homes,"$624,600",0.4%,1.5%,1.7%,9.2%,6.1%,$392,0.5%,1.6%,1.8%
Highlands,neighborhood,All Homes,"$1,072,300",0.5%,0.7%,1.1%,9.0%,7.2%,$507,0.4%,0.8%,1.2%
Highline,neighborhood,All Homes,"$466,400",1.0%,3.1%,7.7%,11.0%,7.3%,$280,1.1%,3.3%,7.7%
Hillman City,neighborhood,All Homes,"$626,100",1.2%,3.4%,4.3%,11.3%,5.8%,$446,1.1%,3.2%,4.2%
Hillwood,neighborhood,All Homes,"$648,500",1.0%,2.8%,4.5%,9.6%,6.3%,$361,0.8%,2.8%,4.3%
Holly Park,neighborhood,All Homes,"$541,700",0.5%,2.0%,1.3%,10.2%,5.2%,$346,0.6%,2.1%,1.2%
Honey Creek Park,neighborhood,All Homes,"$565,000",0.6%,1.6%,3.1%,8.8%,6.0%,$290,0.7%,1.8%,3.2%
Honey Creek Ridge,neighborhood,All Homes,"$675,100",0.1%,0.2%,-0.2%,7.6%,5.3%,$283,0.0%,0.0%,-0.4%
Houghton,neighborhood,All Homes,"$1,448,700",0.5%,1.5%,3.5%,10.4%,8.0%,$635,0.5%,1.6%,3.6%
Idylwood,neighborhood,All Homes,"$978,800",1.1%,3.4%,5.7%,9.8%,7.3%,$462,1.1%,3.4%,5.5%
Industrial District,neighborhood,All Homes,"$594,200",0.8%,2.1%,2.8%,9.3%,7.1%,$405,0.7%,2.3%,2.8%
Inglesea,neighborhood,All Homes,"$462,100",1.2%,3.1%,6.1%,8.6%,4.8%,$313,1.0%,3.0%,6.1%
Inglewood,neighborhood,All Homes,"$792,700",0.8%,2.6%,4.5%,8.4%,6.2%,$361,0.8%,2.6%,4.3%
Inglewood,neighborhood,All Homes,"$816,100",0.7%,2.5%,4.6%,8.3%,6.1%,$388,0.8%,2.4%,4.6%
Innis Arden,neighborhood,All Homes,"$1,379,400",-0.1%,0.5%,0.1%,6.6%,4.7%,$483,-0.2%,0.4%,0.0%
Interbay,neighborhood,All Homes,"$742,400",0.7%,2.2%,0.7%,8.9%,6.4%,$567,0.5%,2.2%,0.5%
Interlake,neighborhood,All Homes,"$917,900",1.2%,3.2%,4.3%,9.3%,7.2%,$463,1.3%,3.3%,4.3%
International District,neighborhood,All Homes,"$428,600",0.4%,1.7%,1.0%,7.8%,5.1%,$575,0.5%,1.8%,1.1%
Issaquah Highlands,neighborhood,All Homes,"$834,600",0.8%,2.7%,3.5%,8.1%,6.0%,$427,0.7%,2.6%,3.4%
Issaquah Valley,neighborhood,All Homes,"$642,400",0.7%,2.4%,4.4%,9.6%,6.5%,$453,0.7%,2.5%,4.4%
Jackson Place,neighborhood,All Homes,"$657,600",0.3%,1.4%,1.4%,9.8%,6.8%,$544,0.4%,1.5%,1.5%
Jericho Estates,neighborhood,All Homes,"$761,000",0.6%,1.8%,3.1%,6.6%,5.2%,$268,0.8%,1.9%,3.1%
Judkins Park,neighborhood,All Homes,"$701,300",0.4%,1.8%,1.6%,10.0%,7.0%,$528,0.4%,1.7%,1.5%
Kennydale,neighborhood,All Homes,"$643,700",0.6%,1.4%,2.7%,8.4%,6.4%,$335,0.6%,1.5%,2.8%
Kingsgate,neighborhood,All Homes,"$732,400",1.0%,3.5%,5.3%,9.9%,7.0%,$964,1.0%,3.4%,5.4%
Kitts Corner,neighborhood,All Homes,"$258,900",0.7%,2.2%,6.9%,11.3%,4.1%,$227,0.4%,1.8%,6.6%
Klahanie,neighborhood,All Homes,"$827,700",0.7%,2.1%,3.1%,8.0%,6.5%,$411,0.7%,2.0%,3.0%
LaCrosse,neighborhood,All Homes,"$860,000",0.7%,2.1%,2.7%,6.7%,4.9%,$311,0.6%,2.0%,2.6%
