"King County, WA - All Homes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Statistic,,,Zillow Home Value Index,,,,,,Listings with price cut (%),,,,Median value per sq. ft. ($),,,,Median price cut (%),,,,Median list price ($),,,,Median sale price ($),,,,Median list price / sq. ft. ($),,,,Median rent list price ($),,,,Median rent list price / sq. ft. ($),,,,Homes foreclosed,,,,Zillow Rent Index,,,
Region Name,Region Type,Type,Current,Month Over Month,Quarter Over Quarter,Year Over Year,5 Year Annualized,10 Year Annualized,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year
Bryant,neighborhood,All Homes,"$912,800",0.7%,1.4%,0.9%,7.9%,6.6%,---,---,---,---,$540,0.7%,1.5%,0.9%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,"$2,906",-2.2%,-3.8%,3.0%
Buenna,neighborhood,All Homes,"$512,000",1.0%,3.1%,8.4%,7.7%,4.2%,---,---,---,---,$241,0.8%,3.0%,8.1%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Campus Highlands,neighborhood,All Homes,"$525,000",1.1%,3.8%,9.6%,7.6%,4.3%,---,---,---,---,$202,1.0%,3.6%,9.2%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Capitol Hill,neighborhood,All Homes,"$710,600",0.4%,1.0%,-0.9%,7.8%,5.7%,7.0%,2.9%,-16.2%,-6.5%,$715,0.4%,1.0%,-1.0%,2.9%,0.2%,-0.8%,-1.8%,"$580,000",-7.2%,-3.3%,-3.3%,"$587,600",-13.2%,-20.7%,-9.2%,$646,0.1%,-0.9%,-2.8%,---,---,---,---,$2.89,0.9%,1.7%,-1.9%,0,---,---,-1.5%,"$2,472",-0.4%,1.3%,3.0%
Cascade,neighborhood,All Homes,"$419,800",1.3%,3.8%,9.4%,10.5%,6.2%,---,---,---,---,$314,1.3%,4.0%,9.4%,---,---,---,---,"$395,000",2.6%,2.6%,6.1%,"$457,200",8.0%,13.9%,23.4%,$245,3.2%,-4.8%,-1.6%,---,---,---,---,---,---,---,---,---,---,---,---,"$2,012",-0.5%,-4.3%,-0.9%
Cedar Park,neighborhood,All Homes,"$715,000",0.7%,2.2%,1.9%,8.7%,6.1%,---,---,---,---,$422,0.7%,2.2%,1.7%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,-6.5%,"$2,505",-2.0%,-2.9%,1.9%
Central Des Moines,neighborhood,All Homes,"$455,500",1.0%,3.2%,8.0%,10.0%,5.5%,---,---,---,---,$258,0.8%,3.2%,7.9%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$2,203",1.5%,-2.1%,1.5%
Chinquapin Ridge,neighborhood,All Homes,"$556,400",1.1%,3.7%,6.9%,8.1%,5.1%,---,---,---,---,$233,0.9%,3.6%,6.9%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Clover Creek,neighborhood,All Homes,"$961,500",0.6%,1.4%,1.4%,7.1%,3.4%,---,---,---,---,$319,0.6%,1.3%,1.3%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Columbia City,neighborhood,All Homes,"$695,100",0.5%,1.6%,2.5%,10.2%,6.8%,---,---,---,---,$463,0.7%,1.8%,2.7%,---,---,---,---,"$670,000",-1.5%,-4.3%,10.0%,---,---,---,---,$563,4.4%,15.0%,22.3%,---,---,---,---,---,---,---,---,---,---,---,---,"$2,548",0.4%,-3.8%,2.7%
Cougar Mountain,neighborhood,All Homes,"$1,284,000",0.5%,2.1%,2.9%,7.8%,6.3%,---,---,---,---,$423,0.5%,1.9%,2.9%,---,---,---,---,"$1,298,000",3.8%,1.8%,-12.9%,"$1,161,000",10.6%,-3.5%,-4.5%,$386,0.2%,-3.8%,-1.4%,---,---,---,---,---,---,---,---,---,---,---,---,"$3,803",1.8%,0.9%,5.1%
Crossroads,neighborhood,All Homes,"$766,600",1.0%,3.0%,4.4%,10.5%,7.3%,---,---,---,---,$528,1.0%,3.1%,4.6%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,"$2,608",0.7%,0.3%,5.6%
Crown Hill,neighborhood,All Homes,"$727,600",0.7%,2.0%,1.3%,9.0%,6.1%,---,---,---,---,$534,0.8%,2.1%,1.3%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,"$2,578",1.1%,-1.6%,1.5%
Denny - Blaine,neighborhood,All Homes,"$2,109,500",0.2%,0.9%,2.3%,7.0%,5.2%,---,---,---,---,$707,0.3%,1.0%,2.3%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Denny Triangle,neighborhood,All Homes,"$863,700",0.5%,1.6%,-1.0%,10.3%,6.2%,---,---,---,---,$856,0.5%,1.5%,-1.0%,---,---,---,---,"$1,023,000",2.4%,4.4%,2.3%,---,---,---,---,$973,1.8%,2.3%,-4.6%,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
Downtown,neighborhood,All Homes,"$708,700",1.3%,3.2%,4.0%,9.3%,6.9%,---,---,---,---,$490,1.2%,3.2%,3.8%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,"$2,519",0.4%,1.3%,4.1%
Downtown,neighborhood,All Homes,"$380,600",1.5%,3.6%,3.5%,10.2%,5.3%,---,---,---,---,$361,1.4%,3.4%,3.4%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Downtown,neighborhood,All Homes,"$815,000",-0.1%,-0.5%,-2.0%,5.8%,3.8%,---,---,---,---,$814,0.0%,-0.5%,-1.9%,---,---,---,---,---,---,---,---,---,---,---,---,$879,0.3%,1.9%,-2.5%,---,---,---,---,---,---,---,---,0,---,---,---,"$2,656",0.7%,1.1%,-0.3%
Downtown,neighborhood,All Homes,"$968,700",0.9%,2.6%,5.6%,9.4%,6.6%,---,---,---,---,$747,0.9%,2.8%,5.7%,---,---,---,---,"$750,000",2.4%,-13.6%,-9.1%,---,---,---,---,$710,-7.4%,-5.8%,-6.6%,"$2,930",-1.3%,8.3%,6.4%,$2.61,0.0%,-3.2%,5.3%,0,---,---,---,"$2,813",1.4%,3.0%,7.2%
Dunlap,neighborhood,All Homes,"$503,400",0.9%,3.0%,4.5%,11.0%,5.9%,---,---,---,---,$377,0.8%,3.0%,4.4%,---,---,---,---,"$440,000",2.9%,-5.4%,-3.8%,---,---,---,---,$358,-1.4%,-8.0%,3.3%,---,---,---,---,---,---,---,---,0,---,---,---,"$2,148",-0.7%,-6.1%,-5.3%
Earlington Hill,neighborhood,All Homes,"$506,600",1.2%,4.4%,10.1%,10.6%,6.0%,---,---,---,---,$274,1.1%,4.6%,10.0%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
East Hill-Meridian,neighborhood,All Homes,"$459,200",0.9%,3.0%,8.2%,9.1%,5.5%,---,---,---,---,$439,0.9%,3.1%,8.1%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
East Queen Anne,neighborhood,All Homes,"$1,056,800",0.5%,1.8%,1.2%,8.1%,6.4%,---,---,---,---,$674,0.4%,1.7%,1.0%,---,---,---,---,"$895,000",4.4%,2.3%,2.6%,---,---,---,---,$639,5.9%,3.5%,0.9%,---,---,---,---,---,---,---,---,0,---,---,---,"$3,075",-0.1%,1.1%,2.2%
East Renton Highlands,neighborhood,All Homes,"$562,800",1.1%,3.6%,7.1%,8.0%,5.3%,---,---,---,---,$298,1.0%,3.5%,6.8%,---,---,---,---,"$555,000",0.0%,-3.3%,0.9%,"$616,400",-1.7%,15.1%,21.4%,$296,0.0%,1.8%,10.1%,---,---,---,---,---,---,---,---,---,---,---,---,"$2,422",2.0%,0.5%,1.6%
East Wellington,neighborhood,All Homes,"$942,100",0.8%,2.1%,4.8%,7.5%,5.4%,---,---,---,---,$350,0.6%,2.0%,4.8%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Eastgate,neighborhood,All Homes,"$860,200",0.8%,2.2%,4.4%,9.2%,7.0%,---,---,---,---,"$1,066",0.8%,2.3%,4.4%,---,---,---,---,---,---,---,---,---,---,---,---,$439,0.8%,0.2%,-3.0%,---,---,---,---,---,---,---,---,0,---,---,---,"$2,669",0.9%,-2.5%,3.7%
Eastlake,neighborhood,All Homes,"$744,900",0.8%,2.7%,1.9%,7.9%,5.8%,---,---,---,---,$650,0.8%,2.7%,1.9%,---,---,---,---,"$845,000",-8.2%,-0.6%,-15.1%,---,---,---,---,$626,-0.5%,-0.9%,-3.0%,---,---,---,---,---,---,---,---,0,---,---,-9.2%,"$2,583",-2.2%,-2.6%,-0.2%
Echo Lake,neighborhood,All Homes,"$584,200",1.0%,2.7%,3.7%,10.4%,6.3%,---,---,---,---,$386,0.8%,2.7%,3.5%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,"$2,328",-0.3%,-1.9%,1.4%
Edgewick,neighborhood,All Homes,"$804,100",-0.1%,1.6%,6.4%,7.5%,---,---,---,---,---,$379,-0.3%,1.6%,6.5%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Education Hill,neighborhood,All Homes,"$852,300",1.1%,2.4%,3.3%,9.0%,7.0%,---,---,---,---,$437,1.2%,2.3%,3.3%,---,---,---,---,"$837,000",11.6%,1.5%,11.6%,---,---,---,---,$457,16.2%,14.9%,14.5%,---,---,---,---,---,---,---,---,0,---,---,---,"$2,788",-0.3%,-1.1%,5.3%
Ellis Park,neighborhood,All Homes,"$807,700",1.0%,2.8%,2.5%,6.3%,5.3%,---,---,---,---,$286,1.1%,2.9%,2.5%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Emerald Crest,neighborhood,All Homes,"$277,900",2.0%,4.2%,9.2%,9.2%,---,---,---,---,---,$203,2.0%,4.1%,9.1%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Enatai,neighborhood,All Homes,"$1,709,200",0.7%,2.1%,3.0%,8.9%,7.3%,---,---,---,---,$626,0.6%,2.1%,3.0%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Evansville,neighborhood,All Homes,"$447,500",1.0%,3.5%,8.5%,11.2%,5.8%,---,---,---,---,$329,0.9%,3.5%,8.2%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,"$2,025",0.0%,-3.2%,-3.4%
